id,title,institution,promotion_status,confidence_score,review_batch_score,missing_fields,original_url,attachment_url,manual_review_decision,deadline_confirmed,application_channel_confirmed,notes
promo_deputy_commissioner_audit_risk_and_deputy_commission_ac0bdff18bb8,Deputy Commissioner - Audit & Risk and Deputy Commissioner – International Tax at KRA,Kenya Revenue Authority (KRA),ready_for_manual_confirmation,100,150,deadline,https://gaa.go.ke/sites/default/files/2026-01/Deputy%20Commissioner%20Audit%20%26%20Risk%20and%20Deputy%20Commissioner%20International%20Tax%20Career%20Opportunity%20at%20KRA.pdf,https://gaa.go.ke/sites/default/files/2026-01/Deputy%20Commissioner%20Audit%20%26%20Risk%20and%20Deputy%20Commissioner%20International%20Tax%20Career%20Opportunity%20at%20KRA.pdf,,,,
promo_kra_for_commissioner_large_and_medium_taxpayers_b1bf3fb5b047,"KRA for Commissioner, Large and Medium Taxpayers",Kenya Revenue Authority (KRA),ready_for_manual_confirmation,100,150,deadline,https://gaa.go.ke/sites/default/files/2025-09/Career%20Opportunity%20for%20Commissioner%2C%20Large%20and%20Medium%20Taxpayers.pdf,https://gaa.go.ke/sites/default/files/2025-09/Career%20Opportunity%20for%20Commissioner%2C%20Large%20and%20Medium%20Taxpayers.pdf,,,,
promo_manager_positions_at_kenya_revenue_authority_36ea2823742a,Manager Positions at Kenya Revenue Authority,Kenya Revenue Authority (KRA),ready_for_manual_confirmation,100,150,deadline,https://gaa.go.ke/sites/default/files/2026-03/Manager%20Positions%20at%20Kenya%20Revenue%20Authority%20.pdf,https://gaa.go.ke/sites/default/files/2026-03/Manager%20Positions%20at%20Kenya%20Revenue%20Authority%20.pdf,,,,
promo_re_of_deputy_commissioner_performance_management_at_364b6a240d9e,Re- of Deputy Commissioner – Performance Management at KRA,Kenya Revenue Authority (KRA),ready_for_manual_confirmation,100,150,deadline,https://gaa.go.ke/sites/default/files/2026-03/Re-Advertisement%20of%20Deputy%20Commissioner%20%E2%80%93%20Performance%20Management%20at%20KRA%20.pdf,https://gaa.go.ke/sites/default/files/2026-03/Re-Advertisement%20of%20Deputy%20Commissioner%20%E2%80%93%20Performance%20Management%20at%20KRA%20.pdf,,,,
promo_director_corporate_services_2d7b221a0116,"Director, Corporate Services",Competition Authority of Kenya (CAK),ready_for_manual_confirmation,100,149,deadline,https://gaa.go.ke/sites/default/files/2026-04/Director%2C%20Corporate%20Services%20%26%20Manager%2C%20Buyer%20Power%20Vacancies%20at%20the%20Competition%20Authority%20of%20Kenya.pdf,https://gaa.go.ke/sites/default/files/2026-04/Director%2C%20Corporate%20Services%20%26%20Manager%2C%20Buyer%20Power%20Vacancies%20at%20the%20Competition%20Authority%20of%20Kenya.pdf,,,,
promo_manager_buyer_power_at_the_competition_authority_of_7b746bce2f7c,"Manager, Buyer Power at the Competition Authority of Kenya",Competition Authority of Kenya (CAK),ready_for_manual_confirmation,100,149,deadline,https://gaa.go.ke/sites/default/files/2026-04/Director%2C%20Corporate%20Services%20%26%20Manager%2C%20Buyer%20Power%20Vacancies%20at%20the%20Competition%20Authority%20of%20Kenya.pdf,https://gaa.go.ke/sites/default/files/2026-04/Director%2C%20Corporate%20Services%20%26%20Manager%2C%20Buyer%20Power%20Vacancies%20at%20the%20Competition%20Authority%20of%20Kenya.pdf,,,,
promo_human_resource_manager_communications_and_public_aff_4cf2fdf6ae0a,Human Resource Manager & Communications and Public Affairs Manager Job Positions at the Kenya Railways,Kenya Railways (KR),ready_for_manual_confirmation,100,148,deadline,https://gaa.go.ke/sites/default/files/2026-08/Human%20Resource%20Manager%20%26%20Communications%20and%20Public%20Affairs%20Manager%20Job%20Positions%20at%20the%20Kenya%20Railways%20.pdf,https://gaa.go.ke/sites/default/files/2026-08/Human%20Resource%20Manager%20%26%20Communications%20and%20Public%20Affairs%20Manager%20Job%20Positions%20at%20the%20Kenya%20Railways%20.pdf,,,,
promo_internal_auditor_information_systems_at_kenya_trade_1fc50706e18d,Internal Auditor – Information Systems at Kenya Trade Network Agency (KenTrade),Kenya Trade Network Agency (KenTrade),ready_for_manual_confirmation,100,147,deadline,https://gaa.go.ke/sites/default/files/2026-02/Internal%20Auditor%20%E2%80%93%20Information%20Systems%20Vacancy%20at%20Kenya%20Trade%20Network%20Agency%20%28KenTrade%29.pdf,https://gaa.go.ke/sites/default/files/2026-02/Internal%20Auditor%20%E2%80%93%20Information%20Systems%20Vacancy%20at%20Kenya%20Trade%20Network%20Agency%20%28KenTrade%29.pdf,,,,
promo_deputy_director_legal_services_at_kemsa_87fd739544be,Deputy Director Legal Services at KEMSA,Kenya Medical Supplies Authority (KEMSA),ready_for_manual_confirmation,100,146,deadline,https://gaa.go.ke/sites/default/files/2026-03/Deputy%20Director%20Legal%20Services%20Vacancy%20at%20KEMSA.pdf,https://gaa.go.ke/sites/default/files/2026-03/Deputy%20Director%20Legal%20Services%20Vacancy%20at%20KEMSA.pdf,,,,
promo_director_general_kenya_civil_aviation_authority_a20287d629fc,"Director General, Kenya Civil Aviation Authority",Kenya Civil Aviation Authority (KCAA),ready_for_manual_confirmation,100,145,deadline,https://gaa.go.ke/sites/default/files/2026-04/Director%20General%2C%20Kenya%20Civil%20Aviation%20Authority%20Job%20Opportunity%20.pdf,https://gaa.go.ke/sites/default/files/2026-04/Director%20General%2C%20Kenya%20Civil%20Aviation%20Authority%20Job%20Opportunity%20.pdf,,,,
